ApL1,ApL2,Ec,MaxM2,MaxM3,MaxP,MaxT,MaxV2,MaxV3,PGA,U1,U2,U3,WA1,WA2,fc,fu,fy
9.000000e+000,9.000000e+000,2.606012e+004,7.615253e+002,5.145710e+003,-9.208974e+003,1.462793e+002,-1.272998e+003,-8.378111e+001,5.274000e-001,1.942500e-004,2.000424e-002,-2.870200e-004,9.958555e+002,1.171689e+003,2.934946e+001,6.879104e+002,4.315599e+002
9.000000e+000,9.000000e+000,2.362213e+004,9.500161e+002,4.942547e+003,-9.822239e+003,2.404595e+002,1.275786e+003,-1.315193e+002,5.274000e-001,5.893100e-004,2.455212e-002,-1.546000e-004,9.833128e+002,9.127736e+002,2.752936e+001,6.628218e+002,4.011656e+002
9.000000e+000,9.000000e+000,2.586156e+004,8.030845e+002,5.068387e+003,-8.957217e+003,1.102165e+002,1.289716e+003,-8.364185e+001,6.588000e-001,-8.962000e-004,1.462540e-002,-2.494800e-004,1.076604e+003,8.841872e+002,2.997572e+001,7.688449e+002,4.298366e+002
9.000000e+000,9.000000e+000,2.413624e+004,1.499304e+003,6.320246e+003,-1.345236e+004,4.646213e+002,1.436693e+003,-2.316101e+002,6.588000e-001,2.395340e-003,9.501993e-002,2.682900e-004,7.183862e+002,1.104905e+003,2.881672e+001,7.872441e+002,4.277691e+002
9.000000e+000,9.000000e+000,2.437143e+004,1.703343e+003,5.853337e+003,-1.187742e+004,3.079593e+002,1.548212e+003,-2.371018e+002,6.588000e-001,3.126800e-004,5.200179e-002,2.733600e-004,1.088626e+003,1.195656e+003,2.897772e+001,6.536931e+002,3.504420e+002
9.000000e+000,9.000000e+000,2.660383e+004,9.372567e+002,6.044265e+003,-1.293656e+004,3.655003e+002,-1.564095e+003,-1.552847e+002,5.274000e-001,1.720850e-003,4.788148e-002,5.566800e-004,9.888438e+002,1.051459e+003,2.974250e+001,7.174200e+002,4.116714e+002
9.000000e+000,9.000000e+000,2.209745e+004,8.720893e+002,5.455165e+003,-9.560390e+003,1.867368e+002,1.531879e+003,-9.259957e+001,6.588000e-001,9.989700e-004,4.087673e-002,-1.702400e-004,7.841790e+002,7.056179e+002,2.382008e+001,7.526395e+002,3.999377e+002
9.000000e+000,9.000000e+000,2.506598e+004,9.459240e+002,5.288330e+003,-9.612867e+003,2.220486e+002,-1.708359e+003,-1.303109e+002,5.274000e-001,-8.600000e-006,3.652387e-002,-6.558000e-005,8.335064e+002,7.056571e+002,2.845789e+001,6.378925e+002,3.504420e+002
9.000000e+000,9.000000e+000,2.564900e+004,1.738652e+003,6.423750e+003,-1.343246e+004,4.911266e+002,-1.905405e+003,-2.396984e+002,4.472000e-001,4.556700e-004,1.508842e-001,4.754000e-004,7.284478e+002,9.809788e+002,2.984075e+001,6.562406e+002,4.103448e+002
9.000000e+000,9.000000e+000,2.263160e+004,7.706021e+002,5.554361e+003,-1.044020e+004,1.835416e+002,-1.492383e+003,-8.975005e+001,6.588000e-001,-1.533700e-004,3.711501e-002,-1.445000e-004,6.846807e+002,8.105687e+002,2.322088e+001,7.114064e+002,4.188035e+002
9.000000e+000,9.000000e+000,2.578358e+004,8.097288e+002,5.174249e+003,-7.532731e+003,1.190355e+002,-1.469448e+003,-8.858997e+001,6.588000e-001,1.892900e-004,2.563067e-002,-1.689900e-004,9.984150e+002,9.137935e+002,2.939193e+001,6.765059e+002,4.342875e+002
9.000000e+000,9.000000e+000,2.399545e+004,9.749724e+002,5.608213e+003,-1.231678e+004,3.156465e+002,1.878828e+003,-1.826432e+002,5.274000e-001,-4.986100e-004,2.192540e-002,-1.227100e-004,9.925605e+002,7.420496e+002,2.687336e+001,6.347979e+002,4.068645e+002
9.000000e+000,9.000000e+000,2.493062e+004,1.704358e+003,5.762040e+003,-1.179652e+004,3.744891e+002,-1.855585e+003,-2.329399e+002,5.274000e-001,1.049130e-003,9.417234e-002,8.317800e-004,8.489225e+002,8.008012e+002,2.866313e+001,7.032665e+002,4.346044e+002
9.000000e+000,9.000000e+000,2.583102e+004,8.438384e+002,5.347642e+003,-1.125320e+004,1.216723e+002,1.575201e+003,-1.106163e+002,4.031000e-001,-1.609900e-004,1.518171e-002,-2.072800e-004,9.647292e+002,1.096884e+003,2.923618e+001,6.480767e+002,4.249814e+002
9.000000e+000,9.000000e+000,2.376698e+004,1.203190e+003,4.938564e+003,-8.571244e+003,1.135955e+002,-1.682086e+003,-1.425246e+002,6.952000e-001,1.501130e-003,1.623494e-002,-1.435900e-004,7.575833e+002,1.101552e+003,2.688037e+001,6.628218e+002,4.054122e+002
9.000000e+000,9.000000e+000,2.487626e+004,1.332150e+003,5.256142e+003,-1.207723e+004,3.394979e+002,-1.584539e+003,-1.728327e+002,6.952000e-001,-5.661400e-004,1.500042e-002,-2.805900e-004,6.906235e+002,8.335064e+002,2.870808e+001,7.157419e+002,4.244219e+002
9.000000e+000,9.000000e+000,2.532475e+004,8.450118e+002,5.478135e+003,-9.220002e+003,2.125612e+002,-1.404787e+003,-1.088253e+002,6.588000e-001,-1.006200e-004,3.636796e-002,2.228300e-004,8.801959e+002,9.906384e+002,2.964561e+001,6.756078e+002,3.938233e+002
9.000000e+000,9.000000e+000,2.500411e+004,7.697840e+002,5.309221e+003,-1.103305e+004,1.280377e+002,1.537125e+003,-8.744042e+001,4.472000e-001,1.110000e-005,1.586052e-002,-2.268000e-004,9.693873e+002,1.115428e+003,2.813779e+001,7.038560e+002,3.917687e+002
9.000000e+000,9.000000e+000,2.485399e+004,9.211636e+002,4.933914e+003,-7.461701e+003,1.201148e+002,-1.590323e+003,-1.051419e+002,6.588000e-001,5.521200e-004,1.533948e-002,-1.035500e-004,8.338104e+002,9.153920e+002,2.999843e+001,7.501918e+002,4.304340e+002
9.000000e+000,8.000000e+000,2.639763e+004,1.568963e+003,5.598664e+003,-1.111195e+004,3.081291e+002,-1.885497e+003,-2.030758e+002,6.588000e-001,-3.441400e-004,4.118973e-002,1.547600e-004,7.063534e+002,7.375091e+002,2.913454e+001,6.237542e+002,4.170912e+002
9.000000e+000,9.000000e+000,2.369994e+004,1.352821e+003,5.178786e+003,-1.077300e+004,1.493474e+002,-1.448961e+003,-1.744300e+002,6.952000e-001,2.146470e-003,3.730120e-002,1.073200e-004,8.803626e+002,8.695949e+002,2.459104e+001,6.968212e+002,4.006131e+002
